booking_id,hotel_id,checkin_date,nights,num_guests
BK2000,HOT101,2024-04-19,2.0,1.0
BK2001,HOT108,2024-03-07,3.0,2.0
BK2002,HOT109,2024-04-06,4.0,2.0
BK2003,HOT102,2024-04-13,2.0,2.0
BK2004,HOT100,2024-03-28,4.0,2.0
BK2005,HOT102,2024-02-03,3.0,
BK2006,HOT101,2024-03-12,4.0,2.0
BK2007,HOT105,2024-03-07,4.0,1.0
BK2008,HOT109,2024-04-10,4.0,1.0
BK2009,HOT106,2024-03-13,,2.0
BK2010,HOT101,2024-03-13,3.0,1.0
BK2011,HOT104,2024-04-22,3.0,4.0
BK2012,HOT104,2024-03-03,,2.0
BK2013,HOT107,2024-02-05,4.0,2.0
BK2014,HOT109,2024-03-29,4.0,1.0
BK2015,HOT106,2024-02-12,2.0,2.0
BK2016,HOT100,2024-04-27,3.0,3.0
BK2017,HOT100,2024-04-11,3.0,3.0
BK2018,HOT104,2024-04-19,2.0,
BK2019,HOT101,2024-01-30,2.0,3.0
BK2020,HOT107,2024-02-11,3.0,
BK2021,HOT106,2024-01-12,2.0,4.0
BK2022,HOT103,2024-02-22,2.0,4.0
BK2023,HOT108,2024-04-15,1.0,2.0
BK2024,HOT102,2024-03-31,,4.0
BK2025,HOT102,2024-03-08,,1.0
BK2026,HOT102,2024-04-16,2.0,1.0
BK2027,HOT103,2024-01-07,3.0,
BK2028,HOT103,2024-04-15,4.0,2.0
BK2029,HOT106,2024-01-16,2.0,1.0
BK2030,HOT103,2024-03-17,4.0,2.0
BK2031,HOT107,2024-02-14,3.0,2.0
BK2032,HOT104,2024-03-29,1.0,3.0
BK2033,HOT100,2024-01-21,3.0,2.0
BK2034,HOT103,2024-03-23,2.0,
BK2035,HOT103,2024-02-22,,1.0
BK2036,HOT100,2024-01-17,2.0,2.0
BK2037,HOT109,2024-01-29,3.0,2.0
BK2038,HOT104,2024-03-31,2.0,3.0
BK2039,HOT106,2024-04-19,3.0,4.0
BK2040,HOT104,2024-02-08,2.0,2.0
BK2041,HOT109,2024-01-14,1.0,2.0
BK2042,HOT105,2024-03-17,,3.0
BK2043,HOT104,2024-03-02,1.0,3.0
BK2044,HOT104,2024-04-20,3.0,3.0
BK2045,HOT104,2024-03-07,3.0,2.0
BK2046,HOT100,2024-04-12,3.0,2.0
BK2047,HOT106,2024-03-28,2.0,
BK2048,HOT100,2024-02-07,3.0,4.0
BK2049,HOT106,2024-01-05,,
BK2050,HOT109,2024-02-13,2.0,
BK2051,HOT103,2024-03-22,3.0,4.0
BK2052,HOT105,2024-04-18,2.0,
BK2053,HOT108,2024-01-13,4.0,2.0
BK2054,HOT104,2024-03-12,3.0,2.0
BK2055,HOT105,2024-01-29,3.0,2.0
BK2056,HOT104,2024-04-23,3.0,3.0
BK2057,HOT104,2024-02-29,3.0,1.0
BK2058,HOT107,2024-03-22,,2.0
BK2059,HOT109,2024-04-23,2.0,2.0
BK2060,HOT101,2024-02-18,,3.0
BK2061,HOT106,2024-04-19,2.0,2.0
BK2062,HOT103,2024-03-13,4.0,2.0
BK2063,HOT105,2024-01-24,3.0,1.0
BK2064,HOT107,2024-01-23,3.0,
BK2065,HOT100,2024-02-05,2.0,2.0
BK2066,HOT109,2024-03-03,3.0,1.0
BK2067,HOT102,2024-03-22,4.0,4.0
BK2068,HOT106,2024-02-19,1.0,1.0
BK2069,HOT108,2024-02-17,1.0,3.0
BK2070,HOT108,2024-03-27,1.0,
BK2071,HOT103,2024-04-22,3.0,3.0
BK2072,HOT102,2024-03-05,,3.0
BK2073,HOT102,2024-01-06,3.0,3.0
BK2074,HOT107,2024-03-17,,3.0
BK2075,HOT106,2024-01-18,3.0,4.0
BK2076,HOT105,2024-01-22,3.0,4.0
BK2077,HOT100,2024-04-03,2.0,2.0
BK2078,HOT100,2024-01-22,1.0,3.0
BK2079,HOT100,2024-03-22,3.0,2.0
BK2080,HOT109,2024-01-07,2.0,1.0
BK2081,HOT100,2024-01-15,4.0,4.0
BK2082,HOT106,2024-02-02,4.0,
BK2083,HOT102,2024-03-28,2.0,1.0
BK2084,HOT104,2024-01-13,2.0,2.0
BK2085,HOT104,2024-03-30,2.0,4.0
BK2086,HOT101,2024-03-20,1.0,3.0
BK2087,HOT101,2024-03-04,2.0,2.0
BK2088,HOT103,2024-04-16,,2.0
BK2089,HOT105,2024-02-07,2.0,1.0
BK2090,HOT108,2024-01-27,2.0,4.0
BK2091,HOT105,2024-01-02,2.0,1.0
BK2092,HOT101,2024-03-26,4.0,2.0
BK2093,HOT101,2024-01-10,2.0,
BK2094,HOT101,2024-03-23,2.0,4.0
BK2095,HOT104,2024-01-07,1.0,2.0
BK2096,HOT100,2024-02-16,3.0,
BK2097,HOT105,2024-01-15,1.0,1.0
BK2098,HOT100,2024-03-25,2.0,2.0
BK2099,HOT105,2024-02-26,,3.0
BK2100,HOT101,2024-02-13,2.0,1.0
BK2101,HOT106,2024-02-28,3.0,4.0
BK2102,HOT107,2024-03-24,3.0,2.0
BK2103,HOT101,2024-04-02,1.0,2.0
BK2104,HOT101,2024-03-16,4.0,2.0
BK2105,HOT107,2024-02-18,3.0,3.0
BK2106,HOT109,2024-03-28,3.0,
BK2107,HOT102,2024-03-03,1.0,4.0
BK2108,HOT107,2024-02-03,2.0,3.0
BK2109,HOT100,2024-03-27,,
BK2110,HOT109,2024-01-29,2.0,3.0
BK2111,HOT108,2024-03-30,,1.0
BK2112,HOT106,2024-02-01,4.0,3.0
BK2113,HOT106,2024-04-15,,2.0
BK2114,HOT100,2024-04-29,2.0,2.0
BK2115,HOT107,2024-04-21,2.0,1.0
BK2116,HOT107,2024-02-12,3.0,1.0
BK2117,HOT108,2024-03-23,4.0,4.0
BK2118,HOT103,2024-02-26,3.0,2.0
BK2119,HOT107,2024-03-04,4.0,3.0
