booking_id,rating,comment
BK2015,,Tốt
BK2013,4.0,Hài lòng
BK2004,1.0,Rất tốt
BK2101,5.0,
BK2083,,
BK2046,1.0,
BK2108,,
BK2071,,
BK2091,,Rất tốt
BK2012,4.0,Tốt
BK2043,5.0,OK
BK2070,5.0,Rất tốt
BK2005,3.0,
BK2017,4.0,Rất tốt
BK2032,4.0,
BK2058,4.0,
BK2118,2.0,
BK2000,1.0,Hài lòng
BK2107,,Binh thuong
BK2088,3.0,Binh thuong
BK2064,4.0,Hài lòng
BK2077,4.0,OK
BK2050,5.0,OK
BK2057,3.0,Binh thuong
BK2052,5.0,
BK2026,5.0,
BK2117,3.0,Binh thuong
BK2097,5.0,
BK2074,4.0,OK
BK2112,4.0,Tốt
BK2066,2.0,Tốt
BK2048,3.0,Tốt
BK2085,1.0,
BK2034,3.0,OK
BK2087,5.0,Binh thuong
BK2104,,Rất tốt
BK2078,4.0,Hài lòng
BK2030,5.0,Tốt
BK2053,5.0,Tốt
BK2001,5.0,
BK2079,,
BK2116,5.0,
BK2099,4.0,OK
BK2023,3.0,Rất tốt
BK2035,5.0,Binh thuong
BK2020,5.0,Tốt
BK2042,,Binh thuong
BK2076,1.0,OK
BK2062,5.0,Rất tốt
BK2100,5.0,
BK2044,4.0,
BK2084,5.0,
BK2096,,Tốt
BK2014,5.0,
BK2114,4.0,
BK2065,2.0,Rất tốt
BK2021,1.0,Rất tốt
BK2106,2.0,
BK2068,4.0,Rất tốt
BK2095,3.0,Tốt
BK2011,2.0,Tốt
BK2022,5.0,Rất tốt
BK2073,4.0,OK
BK2080,4.0,Hài lòng
BK2040,1.0,Hài lòng
BK2086,2.0,Tốt
BK2082,2.0,Tốt
BK2089,2.0,
BK2036,,Hài lòng
BK2081,3.0,OK
BK2024,2.0,Binh thuong
BK2072,5.0,
BK2054,3.0,Tốt
