booking_id,rating,comment
BK2015,,Tot
BK2013, 4 ,Hài lòng
BK2004,1,Rất tốt
BK2101,5,  
BK2083,,!@#$
BK2046,1,  
BK2108,,!@#$
BK2071,,!@#$
BK2091,,Rất tốt
BK2012,4,Tot
BK2043,5*,OK
BK2070,5*,Rất tốt
BK2005,3,
BK2017, 4 ,Rất tốt
BK2032,4,  
BK2015, 4 ,  
BK2058,4,!@#$
BK2013, 4 ,Tot
BK2118,2,
BK2058,3,
BK2000,1,Hài lòng
BK2107,,Binh thuong
BK2088,3,Binh thuong
BK2013, 4 ,!@#$
BK2064, 4 ,Hài lòng
BK2077,4,OK
BK2050,5*,OK
BK2057,3,Binh thuong
BK2052,5,!@#$
BK2091,4,  
BK2026,5,!@#$
BK2117,3,Binh thuong
BK2064,5*,Rất tốt
BK2097,5*,
BK2074, 4 ,OK
BK2112, 4 ,Tot
BK2066,2,Tot
BK2048,3,Tot
BK2085,1,  
BK2034,3,OK
BK2087,5,Binh thuong
BK2107,1,OK
BK2026,1,!@#$
BK2104,,Rất tốt
BK2078,4,Hài lòng
BK2030,5,Tot
BK2118, 4 ,Hài lòng
BK2053,5*,Tot
BK2001,5,  
BK2079,,  
BK2116,5*,  
BK2099,4,OK
BK2057,3,Rất tốt
BK2023,3,Rất tốt
BK2048,1,Hài lòng
BK2035,5,Binh thuong
BK2020,5,Tot
BK2042,,Binh thuong
BK2005,3,!@#$
BK2076,1,OK
BK2062,5*,Rất tốt
BK2100,5*,  
BK2023,2,Binh thuong
BK2053, 4 ,Rất tốt
BK2044,4,  
BK2084,5*,!@#$
BK2046,5,  
BK2096,,Tot
BK2014,5*,
BK2030,4,Tot
BK2087,5*,Hài lòng
BK2117,2,Hài lòng
BK2032,5,Tot
BK2116,5*,
BK2062,1,OK
BK2114,4,!@#$
BK2065,2,Rất tốt
BK2021,1,Rất tốt
BK2026,4,Hài lòng
BK2106,2,  
BK2068, 4 ,Rất tốt
BK2095,3,Tot
BK2058,5*,Tot
BK2011,2,Tot
BK2022,5,Rất tốt
BK2073,4,OK
BK2052, 4 ,
BK2080, 4 ,Hài lòng
BK2040,1,Hài lòng
BK2086,2,Tot
BK2082,2,Tot
BK2089,2,!@#$
BK2118,2,OK
BK2100,5,Rất tốt
BK2036,,Hài lòng
BK2050,1,
BK2020,4,Binh thuong
BK2095, 4 ,OK
BK2081,3,OK
BK2086,5*,Tot
BK2070,3,Rất tốt
BK2005,1,Hài lòng
BK2068,2,OK
BK2026,5*,  
BK2052,3,Binh thuong
BK2023,4,OK
BK2024,2,Binh thuong
BK2085,1,
BK2082,2,OK
BK2085,2,OK
BK2012,4,
BK2042,5*,Binh thuong
BK2085,4,Rất tốt
BK2036,2,  
BK2040,,
BK2042,5,Binh thuong
BK2072,5*,!@#$
BK2054,3,Tot
BK2040,4,  
BK2091, 4 ,OK
